,vmPFC_OFC,ACC,Amygdala,Insula,Hippocampus,dlPFC,Parahippocampal,PCC,Angular
vmPFC_OFC,0.0,0.0944293946638145,-0.07200364896071898,0.15766423067578206,0.058642412609355696,0.2657808339977982,0.02606911687007995,-0.01117423618778299,-0.07372681073488778
ACC,0.0944293946638144,0.0,0.09982234644308835,0.2989270728819924,0.02930569743843056,0.07953550311414505,0.05221974151039435,0.3261334070731268,0.016633453668759117
Amygdala,-0.07200364896071901,0.09982234644308836,0.0,0.05035472022620656,0.06786846846038118,-0.03866123435911087,0.18070107115492837,0.07461409720253158,0.11641575606653719
Insula,0.157664230675782,0.29892707288199244,0.05035472022620656,0.0,0.10839581184794835,0.22160372498382544,0.02164095187389013,0.034168603755787286,0.028229297588609998
Hippocampus,0.058642412609355675,0.02930569743843053,0.06786846846038123,0.10839581184794825,0.0,0.02337958380094443,0.48612764995369356,0.33786752273185033,-0.04999053508220943
dlPFC,0.2657808339977983,0.07953550311414509,-0.038661234359110876,0.2216037249838253,0.023379583800944497,0.0,-0.00422015348643681,0.16751589504983747,0.1612417046559227
Parahippocampal,0.026069116870079963,0.05221974151039432,0.18070107115492842,0.021640951873890174,0.48612764995369384,-0.004220153486436713,0.0,0.055674912449109486,-0.006132744680055008
PCC,-0.01117423618778294,0.3261334070731268,0.0746140972025316,0.03416860375578729,0.3378675227318503,0.1675158950498375,0.05567491244910962,0.0,0.16706707081743236
Angular,-0.07372681073488782,0.016633453668759096,0.1164157560665372,0.028229297588610057,-0.049990535082209596,0.16124170465592264,-0.0061327446800549445,0.16706707081743252,0.0
