,vmPFC_OFC,ACC,Amygdala,Insula,Hippocampus,dlPFC,Parahippocampal,PCC,Angular
vmPFC_OFC,0.0,-0.006985892098094941,0.012092471948806454,0.09583658296675537,-0.05085198568269218,0.1710261203588978,0.2225204213321425,0.08450472930226888,0.20030178401369977
ACC,-0.006985892098095242,0.0,-0.08588815202105712,0.5469628752322531,0.15817820794682985,-0.2195749217723785,0.2071145072068304,0.513097951800262,0.32016995565593354
Amygdala,0.012092471948806183,-0.08588815202105676,0.0,0.03271905145229728,0.42656659746428977,0.14151349119938256,-0.29562934908187366,0.2798203750379372,-0.02188004778622126
Insula,0.09583658296675526,0.5469628752322533,0.03271905145229749,0.0,-0.11881043008265901,0.2958861961963935,0.04237178520874696,-0.0011775708867026898,-0.34319693297536846
Hippocampus,-0.050851985682692474,0.1581782079468295,0.4265665974642902,-0.11881043008265842,0.0,0.3682080217245044,0.3929816925891862,0.28677775555105206,-0.0641673616713583
dlPFC,0.1710261203588984,-0.21957492177237872,0.14151349119938186,0.29588619619639367,0.3682080217245058,0.0,0.16151686968608603,-0.15119079675865713,0.5972988516301914
Parahippocampal,0.2225204213321427,0.20711450720683053,-0.29562934908187355,0.04237178520874662,0.39298169258918525,0.161516869686087,0.0,-0.14810794885324585,-0.3212067338497348
PCC,0.08450472930226927,0.5130979518002621,0.27982037503793705,-0.0011775708867029283,0.28677775555105217,-0.1511907967586567,-0.14810794885324632,0.0,0.05142134232419706
Angular,0.2003017840136996,0.32016995565593387,-0.02188004778622061,-0.34319693297536885,-0.06416736167135999,0.5972988516301921,-0.32120673384973414,0.051421342324197775,0.0
