,vmPFC_OFC,ACC,Amygdala,Insula,Hippocampus,dlPFC,Parahippocampal,PCC,Angular
vmPFC_OFC,0.0,0.4018830126685028,0.35575881028865775,0.41348260365888173,0.3642136101604251,0.4779462267030933,0.3421898504056998,0.33042422590676723,0.231605901143283
ACC,0.4018830126685028,0.0,0.4863998742981252,0.6237266974338204,0.5690771064099771,0.5345152745721655,0.4922571379543756,0.7293442183979534,0.374347327045375
Amygdala,0.3557588102886578,0.4863998742981252,0.0,0.4458115846339828,0.5464078808200785,0.42734773278576005,0.5011608420523622,0.5292668093374748,0.3651964604293248
Insula,0.41348260365888173,0.6237266974338204,0.4458115846339828,0.0,0.5210179678072676,0.5386104969451493,0.4604357794866648,0.5401008836946996,0.36210133199459127
Hippocampus,0.36421361016042497,0.5690771064099771,0.5464078808200785,0.5210179678072676,0.0,0.46675447121173735,0.6591236098390184,0.6380204018496946,0.32630105857157965
dlPFC,0.4779462267030933,0.5345152745721655,0.42734773278576005,0.5386104969451495,0.46675447121173735,0.0,0.3933446951635302,0.5313516687090213,0.42480455669421746
Parahippocampal,0.3421898504056998,0.4922571379543756,0.5011608420523622,0.4604357794866648,0.6591236098390184,0.3933446951635302,0.0,0.4842788484142207,0.2626517668212461
PCC,0.33042422590676723,0.7293442183979534,0.5292668093374748,0.5401008836946996,0.6380204018496946,0.5313516687090213,0.4842788484142207,0.0,0.4478798980418458
Angular,0.231605901143283,0.374347327045375,0.3651964604293248,0.3621013319945912,0.3263010585715796,0.42480455669421746,0.26265176682124614,0.4478798980418458,0.0
