,vmPFC_OFC,ACC,Amygdala,Insula,Hippocampus,dlPFC,Parahippocampal,PCC,Angular
vmPFC_OFC,0.0,0.5909691811028613,0.5053982636635763,0.5181881299089158,0.6088170322138666,0.6634166311820513,0.4847945518507921,0.5651360671966527,0.5800739066910992
ACC,0.5909691811028613,0.0,0.651728585760002,0.7898150369675597,0.789002360106195,0.6090179493408209,0.5491330032645932,0.868220529731001,0.5575747921426654
Amygdala,0.5053982636635763,0.651728585760002,0.0,0.5103141450977694,0.7927779375527232,0.665644837544125,0.3004423894612701,0.752990219288765,0.5604148445057379
Insula,0.5181881299089158,0.7898150369675597,0.5103141450977694,0.0,0.6234643592984147,0.5415440526915845,0.5205800151415365,0.6575654277650219,0.33409350098171264
Hippocampus,0.6088170322138665,0.789002360106195,0.7927779375527233,0.6234643592984147,0.0,0.7685591337607391,0.5901127135011602,0.8120786338671921,0.5879352299938817
dlPFC,0.6634166311820512,0.609017949340821,0.6656448375441248,0.5415440526915845,0.7685591337607391,0.0,0.46545184284493946,0.6035740554588392,0.748224658720677
Parahippocampal,0.4847945518507921,0.5491330032645932,0.3004423894612701,0.5205800151415365,0.5901127135011601,0.46545184284493946,0.0,0.4285208070421233,0.18923906866612897
PCC,0.5651360671966527,0.868220529731001,0.752990219288765,0.6575654277650219,0.8120786338671921,0.6035740554588392,0.4285208070421233,0.0,0.5607697776972517
Angular,0.5800739066910992,0.5575747921426654,0.5604148445057379,0.3340935009817126,0.5879352299938817,0.748224658720677,0.18923906866612897,0.5607697776972517,0.0
