,vmPFC_OFC,ACC,Amygdala,Insula,Hippocampus,dlPFC,Parahippocampal,PCC,Angular
vmPFC_OFC,0.0,0.6040528261497426,0.32415391708090124,0.6452383346785009,0.5315298280888064,0.6620470193934461,0.48008479628715134,0.5247516285226578,0.28254565978036766
ACC,0.6040528261497426,0.0,0.5128599303968278,0.8438958981609471,0.7713589227252065,0.708957752965401,0.6943113993291872,0.8935844982633876,0.4415857714440998
Amygdala,0.32415391708090124,0.5128599303968278,0.0,0.4834162425682411,0.5343350276428147,0.41507118871803866,0.5738467072417468,0.5303065029478622,0.42315024904299814
Insula,0.6452383346785008,0.8438958981609471,0.48341624256824123,0.0,0.6985710780688097,0.7069984133025549,0.619960857356781,0.7486104617779505,0.4268189008228747
Hippocampus,0.5315298280888064,0.7713589227252065,0.5343350276428147,0.6985710780688097,0.0,0.6488000900287941,0.8756667477859109,0.8674234614333083,0.3997591655948037
dlPFC,0.6620470193934461,0.708957752965401,0.41507118871803866,0.7069984133025549,0.6488000900287941,0.0,0.5430340806290892,0.734050612301809,0.4808154201068023
Parahippocampal,0.48008479628715134,0.6943113993291872,0.5738467072417468,0.6199608573567809,0.8756667477859109,0.5430340806290892,0.0,0.7344728849813076,0.3678951061209369
PCC,0.5247516285226578,0.8935844982633876,0.5303065029478622,0.7486104617779504,0.8674234614333083,0.734050612301809,0.7344728849813076,0.0,0.5296993875228139
Angular,0.2825456597803676,0.4415857714440997,0.42315024904299814,0.4268189008228747,0.3997591655948037,0.4808154201068023,0.3678951061209369,0.5296993875228139,0.0
