frequency_hz,mean_psd_V2_per_Hz,mean_psd_uV2_per_Hz
1.0,1.1605803782259356e-11,11.605803782259356
1.25,1.0051621312963457e-11,10.051621312963457
1.5,8.375169934842808e-12,8.375169934842809
1.75,6.243422035242849e-12,6.2434220352428484
2.0,4.049401536216389e-12,4.049401536216389
2.25,4.672815090828233e-12,4.672815090828234
2.5,4.209629988333454e-12,4.209629988333454
2.75,2.5900127644160514e-12,2.5900127644160515
3.0,2.251909507671959e-12,2.251909507671959
3.25,2.133171772658638e-12,2.133171772658638
3.5,1.9593132014809775e-12,1.9593132014809775
3.75,1.94389126500277e-12,1.94389126500277
4.0,1.7549577665111132e-12,1.7549577665111133
4.25,1.4524525799654259e-12,1.452452579965426
4.5,1.4992461646566565e-12,1.4992461646566564
4.75,1.4748784110398578e-12,1.4748784110398578
5.0,1.3611283820980667e-12,1.3611283820980666
5.25,1.277606158432204e-12,1.277606158432204
5.5,1.3132423547970198e-12,1.3132423547970198
5.75,1.1746710428526622e-12,1.174671042852662
6.0,1.1208650975492006e-12,1.1208650975492007
6.25,1.1182534135693326e-12,1.1182534135693327
6.5,1.0461162887896033e-12,1.0461162887896034
6.75,1.0925543226001284e-12,1.0925543226001284
7.0,1.1678320172694285e-12,1.1678320172694285
7.25,1.226059767674741e-12,1.226059767674741
7.5,1.2031324722805213e-12,1.2031324722805212
7.75,1.4977284450275316e-12,1.4977284450275317
8.0,1.6891747541940166e-12,1.6891747541940165
8.25,2.2183251465710196e-12,2.2183251465710194
8.5,2.234090660532227e-12,2.2340906605322273
8.75,2.6238707201072855e-12,2.6238707201072855
9.0,2.9441120643205293e-12,2.9441120643205294
9.25,5.300387488479386e-12,5.300387488479386
9.5,9.179664212316234e-12,9.179664212316235
9.75,1.141090252515945e-11,11.41090252515945
10.0,1.2316189178225897e-11,12.316189178225896
10.25,9.582085935885436e-12,9.582085935885436
10.5,6.628684846360433e-12,6.628684846360433
10.75,5.507046843231754e-12,5.507046843231754
11.0,3.5509962511436604e-12,3.5509962511436606
11.25,2.9829682357591503e-12,2.9829682357591505
11.5,1.8108067278372688e-12,1.8108067278372688
11.75,1.3068296143904918e-12,1.3068296143904918
