,vmPFC_OFC,ACC,Amygdala,Insula,Hippocampus,dlPFC,Parahippocampal,PCC,Angular
vmPFC_OFC,0.0,0.0,0.02024526234363717,0.160449970237162,0.0,0.2863325785611686,0.37254453231380463,0.141478137906397,0.3353460055498539
ACC,0.0,0.0,0.0,0.9157273176391376,0.2648225549322893,0.0,0.3467518925267614,0.8590305345471151,0.5360297525804747
Amygdala,0.020245262343636716,0.0,0.0,0.054778359882993295,0.7141594133323256,0.23692242302685412,0.0,0.46847633186340604,0.0
Insula,0.16044997023716182,0.915727317639138,0.05477835988299364,0.0,0.0,0.49537379050510316,0.07093900330312498,0.0,0.0
Hippocampus,0.0,0.2648225549322887,0.7141594133323262,0.0,0.0,0.6164552647632987,0.6579314383689698,0.48012440467340095,0.0
dlPFC,0.2863325785611696,0.0,0.23692242302685296,0.49537379050510344,0.616455264763301,0.0,0.2704121550631853,0.0,0.9999999999999987
Parahippocampal,0.37254453231380497,0.34675189252676164,0.0,0.07093900330312441,0.6579314383689682,0.27041215506318694,0.0,0.0,0.0
PCC,0.14147813790639763,0.8590305345471153,0.46847633186340576,0.0,0.4801244046734012,0.0,0.0,0.0,0.08608980610602905
Angular,0.3353460055498536,0.5360297525804752,0.0,0.0,0.0,1.0,0.0,0.08608980610603026,0.0
