vmPFC_OFC,ACC,Amygdala,Insula,Hippocampus,dlPFC,Parahippocampal,PCC,Angular
-0.06320629080935082,-0.08919795234507985,-0.010573980927733491,-0.12843043289070258,-0.10671965628217431,-0.016698065033467793,-0.2080175426239022,-0.14005408454048646,0.06164888580782199
0.3992502018566835,0.5489346746402387,1.3136651452114818,0.6033795925672408,0.6379144494735565,0.12235958337180464,0.6258806721479245,1.0619746349241894,-0.15526881629679562
0.63804928500518,0.7349829236265999,1.8456053141011968,0.9497892906087756,0.8770140631049539,0.33138411992690464,0.8085162874363798,1.4295943834914318,-0.01749688597322313
0.5006731115988077,0.4702643828142648,1.6181188304408975,0.827988969833598,0.6819213464256844,0.5996415528895147,0.3843956763682942,0.9118027434609632,0.3612834000103108
0.042533347548127154,0.10549119359905412,1.2914965714990654,0.43221153797428913,0.513764701709609,0.7871745752299801,-0.02393078988574379,0.1838890371599193,0.49417182533795245
-0.4448331944522741,-0.12253217700278954,1.2538891290940426,-0.027500932593514216,0.5538700097734283,0.6891642144830475,-0.02029821061586151,-0.1119626190340281,0.03909407640772683
-0.6569680165476427,-0.26259750510915075,1.224825177498956,-0.4304390686046285,0.5161024839545196,0.2533154997536157,0.08409463520065324,0.08644397554949829,-0.8213515367405995
-0.5265659292514169,-0.3590770722563382,0.817681963072258,-0.594663378082501,0.22144901790356003,-0.2174020933224293,-0.20466822295676249,0.4575987405746159,-1.4591729346740525
-0.1893517130899159,-0.22871300073108353,0.20699656234976496,-0.2524273186785366,0.05456847866923173,-0.19431939123176187,-0.6924953921465948,0.7779317245354186,-1.278154108044791
0.22314424879025802,0.28394209328329567,-0.0322012980907625,0.6169507582660929,0.4984045124862797,0.5640504798588091,-0.5541963323452983,1.004066611807899,-0.2766796921034978
0.6149651079987573,0.9253849926099222,0.32647947634914115,1.5314111202364291,1.3094412871147285,1.6059382138752762,0.5726754227821227,1.0311688852281693,0.7992743756909685
0.8115297096686406,1.1633113907593717,0.8467602849573861,1.8649678112178343,1.6067608840106595,2.0711591804666867,1.8701090768894462,0.7118463787626272,1.0405207450559122
0.6492062459300392,0.8015165241774227,0.9813807545117429,1.5451873105444744,0.9863680057205094,1.5426415253069843,2.1200751393936876,0.2060112175798039,0.29674166209100683
0.2569545595410273,0.310051167297659,0.7696859774904499,1.190429401278197,0.2207936907902438,0.5599543256547852,1.171429204775162,0.05436587554722766,-0.5523623576186482
0.06642058621618535,0.33537722545714493,0.7297123971459849,1.3698109723478529,0.42962107651903764,0.10118606809918722,0.21781682547626688,0.6339754950900531,-0.4675939391335372
0.36979728477715557,0.8858198226152292,1.0432280128355453,1.8247816982665248,1.6001062160025175,0.5001658317070262,0.387191788656228,1.5599946779264624,0.5574323094906894
0.9184126467840741,1.217582389656497,1.1679166954311075,1.6796595654233424,2.3772686217283083,1.0341550149447416,1.3384016336405693,1.882150442535941,1.386889197935398
1.1212971430712932,0.6800493325891587,0.531118342305003,0.4995225371557519,1.5745473921047985,0.7294841422887793,1.668688353391344,1.0625439555477183,0.9968369342499759
0.6927669097004898,-0.4396355121477611,-0.5730193404625741,-1.0621459560649593,-0.36338681702845993,-0.503390890896101,0.6497025745280773,-0.3321481025010452,-0.3200402542488582
-0.004887386723219797,-1.1446496352740307,-1.1798977762580587,-1.8661972458579221,-1.7701297909792983,-1.7238192970969488,-0.9108851253067014,-1.1391169299547976,-1.2770150596933898
-0.3712560673196471,-0.8374874062663323,-0.7836976175865455,-1.4716252583820781,-1.5845377964986462,-1.9754903843659128,-1.7142122344234187,-0.8351224511062791,-1.057760527480718
-0.25647182352374726,0.0011306145566567726,0.06538106955545342,-0.5284580395263692,-0.4317900346304973,-1.2871217885688564,-1.4805240678713547,-0.06963462704361195,-0.11733239474707088
-0.06993826117677665,0.3960470075623499,0.4351010913465534,0.014683125260020552,0.2235939229305237,-0.5335619710357623,-1.0295331604472475,0.14310567066112018,0.5503695416533079
-0.18975241536926524,0.01458335755567714,0.026658144224708025,-0.10035794051226266,-0.2635671675417589,-0.382998761657718,-1.0373634305763362,-0.4090061218727127,0.5683687776015917
-0.4856395290919424,-0.5334129192491692,-0.6928709137948048,-0.3622139452890684,-1.1629098004197118,-0.6110898509057574,-1.2065673562583519,-0.9996601426118574,0.3047313250687207
-0.5866339067659545,-0.5640445574354683,-1.192070442126897,-0.28131996625050787,-1.4010865604845044,-0.5718930952739867,-0.8350358132436645,-0.9510069515535737,0.08672017990512176
-0.46440998812623624,-0.21352515270043618,-1.393800953615695,-0.03009011842722266,-0.8464093875015446,-0.15226454589301006,0.09083642172880518,-0.47743919818279296,-0.23394200369383142
-0.472878300560482,-0.20248339850477198,-1.4686499504846353,-0.17041935423790522,-0.3312686778637969,0.0744061924623962,0.7156848881905249,-0.3524372733060702,-0.8250655675870626
-0.7796468514767728,-0.7961943731799652,-1.392276634932003,-0.846175943669989,-0.482582909403356,-0.3013764816602301,0.28287700253518777,-0.8531585699559506,-1.3389345532221244
-1.0093848524425406,-1.3529905654184629,-0.9544827693222342,-1.4910504262604802,-0.8946961816442875,-0.8510982590403487,-0.8974412294394476,-1.3383554967268778,-1.173909429922353
-0.6645502670151897,-1.0951506223249508,-0.17462091098667654,-1.4622411961170263,-0.7093179055240707,-0.7793718703836313,-1.6523160248097204,-1.0238229757502886,-0.231776216013399
0.1740158822269165,-0.12365205774844838,0.516584504348084,-0.8132635226213883,0.18669930523930084,0.05508252653368929,-1.1749649678961358,-0.006632594110863223,0.8542029384560719
0.8093867412306704,0.6444339253288182,0.6560300209015335,-0.22128414325446952,0.9471755584255542,0.926595343869447,0.0862961171019058,0.7589052084918757,1.3600256047371273
0.679085230609017,0.5454210291305996,0.2507686309885768,-0.179257253633679,0.807031922412015,1.1054792783855405,0.9192418203738755,0.5412437531472792,1.1903744781782688
-0.012842525091281816,-0.10911036171746327,-0.21864066812428504,-0.4901440181394538,-0.004174287489599693,0.6542178210393536,0.6571798406762512,-0.34667664041877944,0.8198852577898196
