frequency_hz,mean_psd_V2_per_Hz,mean_psd_uV2_per_Hz
19.0,4.2230861469573125e-13,0.4223086146957312
19.25,4.256364383339865e-13,0.42563643833398646
19.5,4.5299146951321675e-13,0.4529914695132167
19.75,5.521925722804742e-13,0.5521925722804741
20.0,5.367396308830453e-13,0.5367396308830453
20.25,6.400084081823256e-13,0.6400084081823256
20.5,5.898724402873667e-13,0.5898724402873667
20.75,5.633407020805983e-13,0.5633407020805984
21.0,5.02855365384616e-13,0.502855365384616
21.25,5.630017962939757e-13,0.5630017962939757
21.5,6.040648842026437e-13,0.6040648842026437
21.75,5.788530118673536e-13,0.5788530118673536
22.0,5.400659964272432e-13,0.5400659964272432
22.25,4.820234809540332e-13,0.4820234809540332
22.5,5.246852879463448e-13,0.5246852879463448
22.75,6.110196757741649e-13,0.6110196757741649
23.0,5.708386602591194e-13,0.5708386602591194
23.25,5.205053709774163e-13,0.5205053709774162
23.5,4.590379333162342e-13,0.4590379333162342
23.75,5.315026825543434e-13,0.5315026825543434
24.0,5.621781460937058e-13,0.5621781460937058
24.25,5.588067914124163e-13,0.5588067914124163
24.5,5.410513257202382e-13,0.5410513257202382
24.75,5.984085589819672e-13,0.5984085589819672
25.0,5.839190315769866e-13,0.5839190315769867
25.25,5.26770697227063e-13,0.5267706972270629
25.5,6.074058405647331e-13,0.6074058405647331
25.75,6.821644731306931e-13,0.6821644731306932
26.0,7.437986075377242e-13,0.7437986075377242
26.25,5.276276532784322e-13,0.5276276532784322
26.5,5.282125968963114e-13,0.5282125968963114
26.75,5.786680833009932e-13,0.5786680833009932
27.0,5.219680354601008e-13,0.5219680354601008
27.25,6.978489788337409e-13,0.697848978833741
27.5,7.501535710978509e-13,0.750153571097851
27.75,5.567983816379314e-13,0.5567983816379314
28.0,5.86968444845086e-13,0.586968444845086
28.25,4.807776884966268e-13,0.4807776884966268
28.5,4.58366934307957e-13,0.458366934307957
28.75,4.515244448179363e-13,0.4515244448179363
29.0,4.613708956811721e-13,0.46137089568117207
29.25,4.606663781207423e-13,0.46066637812074235
29.5,4.469826441982438e-13,0.4469826441982438
29.75,5.299630401947752e-13,0.5299630401947752
30.0,4.259636810465179e-13,0.4259636810465179
30.25,4.0617862301803406e-13,0.40617862301803404
30.5,4.294294584634536e-13,0.4294294584634536
30.75,3.835657610097309e-13,0.3835657610097309
31.0,3.918528451102015e-13,0.3918528451102015
31.25,4.048452994787171e-13,0.40484529947871706
31.5,3.562089104369983e-13,0.3562089104369983
31.75,3.6863927194633097e-13,0.36863927194633095
32.0,4.024788537940256e-13,0.4024788537940256
32.25,4.521486392123965e-13,0.4521486392123965
32.5,3.8545141158176146e-13,0.38545141158176144
32.75,3.347183650934198e-13,0.3347183650934198
33.0,4.2844390429508613e-13,0.4284439042950861
33.25,3.9000878641157867e-13,0.39000878641157866
33.5,3.127071064255293e-13,0.3127071064255293
33.75,3.5278115166045224e-13,0.35278115166045226
34.0,4.1828089281859046e-13,0.4182808928185905
34.25,3.861432085043749e-13,0.3861432085043749
34.5,3.4438750899246273e-13,0.34438750899246273
34.75,3.2908208581445273e-13,0.32908208581445275
35.0,3.907784456630906e-13,0.39077844566309056
35.25,4.4791325710585054e-13,0.44791325710585056
35.5,4.0668189888627565e-13,0.40668189888627565
35.75,4.0761578854824637e-13,0.40761578854824637
36.0,3.682896006537908e-13,0.3682896006537908
36.25,3.4108028209041425e-13,0.34108028209041424
36.5,4.071264988058077e-13,0.4071264988058077
36.75,3.950207873544022e-13,0.3950207873544022
37.0,3.6552129195068686e-13,0.3655212919506869
37.25,4.1114201903231523e-13,0.41114201903231523
37.5,4.373785319382059e-13,0.4373785319382059
37.75,4.791603743808565e-13,0.4791603743808565
38.0,4.857899503977728e-13,0.4857899503977728
38.25,4.742528829218463e-13,0.4742528829218463
38.5,4.569706172581382e-13,0.45697061725813826
38.75,4.0051088830203605e-13,0.40051088830203607
39.0,3.6672791980048263e-13,0.36672791980048264
39.25,3.884655061120167e-13,0.3884655061120167
39.5,4.0576207010965957e-13,0.4057620701096596
39.75,4.658413314928014e-13,0.4658413314928014
40.0,3.7439861487012005e-13,0.37439861487012005
