,vmPFC_OFC,ACC,Amygdala,Insula,Hippocampus,dlPFC,Parahippocampal,PCC,Angular
vmPFC_OFC,0.0,0.09174940485561162,0.06131269860622494,0.11712585184928369,0.028204246786023887,0.2301540729582885,0.057948566650255856,-0.03784543395123696,-0.011605266002912014
ACC,0.09174940485561162,0.0,0.06325047661359032,0.2234015306341973,0.042339538703702925,0.10011516493490909,0.08481639671047031,0.339559753909689,0.018412070264358118
Amygdala,0.061312698606224944,0.06325047661359029,0.0,0.04715430446667197,0.10381332598606337,0.022850710567382505,0.14730581792193886,0.11895885026611946,0.10652504113731427
Insula,0.11712585184928372,0.2234015306341973,0.04715430446667195,0.0,0.11190069886507044,0.19247039259294801,0.0448931774961552,0.05669750643075273,0.07123356711857425
Hippocampus,0.028204246786023866,0.04233953870370294,0.10381332598606335,0.11190069886507042,0.0,0.03693377360100179,0.41883877472012376,0.28871474810920994,-0.011945209520492378
dlPFC,0.2301540729582885,0.10011516493490907,0.022850710567382464,0.192470392592948,0.036933773601001946,0.0,0.00812766450475248,0.13053734507641365,0.09760048550809408
Parahippocampal,0.05794856665025589,0.0848163967104703,0.14730581792193886,0.04489317749615515,0.4188387747201237,0.008127664504752542,0.0,-0.003671438574842256,-0.0454383931690234
PCC,-0.03784543395123694,0.3395597539096891,0.11895885026611949,0.0566975064307527,0.28871474810920983,0.1305373450764137,-0.0036714385748421174,0.0,0.16777049752359785
Angular,-0.011605266002911983,0.018412070264358097,0.10652504113731427,0.07123356711857422,-0.011945209520492411,0.0976004855080941,-0.04543839316902343,0.1677704975235979,0.0
