,vmPFC_OFC,ACC,Amygdala,Insula,Hippocampus,dlPFC,Parahippocampal,PCC,Angular
vmPFC_OFC,0.0,0.5143426446739197,0.2714704826953467,0.5494999736253304,0.44635272918656427,0.5592232729473565,0.4070234733491058,0.44776041025729707,0.20542235400869788
ACC,0.5143426446739197,0.0,0.44435158202264546,0.7149695189039335,0.6563075450198779,0.6052217332907104,0.5901940200625245,0.7532968988032174,0.37136415744443957
Amygdala,0.27147048269534674,0.44435158202264546,0.0,0.4143043869721331,0.4635399980956204,0.3318481402867493,0.49240050252240647,0.45284657882209783,0.32771631122837375
Insula,0.5494999736253303,0.7149695189039335,0.4143043869721331,0.0,0.5965343781924639,0.6061246375060393,0.5272055370744725,0.6361944192013972,0.348835960034063
Hippocampus,0.4463527291865642,0.656307545019878,0.4635399980956204,0.5965343781924639,0.0,0.5429158622817744,0.7485326998344378,0.739231446127337,0.3156921517231008
dlPFC,0.5592232729473565,0.6052217332907104,0.3318481402867493,0.6061246375060393,0.5429158622817744,0.0,0.4654149662392135,0.6265156298310212,0.3948630302943382
Parahippocampal,0.4070234733491058,0.5901940200625245,0.49240050252240647,0.5272055370744725,0.7485326998344378,0.4654149662392135,0.0,0.6282299980116905,0.2878040535688406
PCC,0.44776041025729707,0.7532968988032173,0.45284657882209783,0.6361944192013972,0.739231446127337,0.6265156298310212,0.6282299980116905,0.0,0.45073514030912626
Angular,0.20542235400869788,0.37136415744443957,0.32771631122837375,0.348835960034063,0.3156921517231008,0.3948630302943382,0.28780405356884053,0.45073514030912626,0.0
