,vmPFC_OFC,ACC,Amygdala,Insula,Hippocampus,dlPFC,Parahippocampal,PCC,Angular
vmPFC_OFC,0.0,0.23526772724002334,0.0652817384473732,0.27312515243459884,0.13995628508502933,0.47676572238164877,0.1402194320328678,0.14562142569839473,0.0598636551697165
ACC,0.23526772724002315,0.0,0.22598331356110957,0.5043523449037236,0.1414294261711128,0.16880101358270588,0.15207938413183558,0.5564743919655197,0.12188588720039635
Amygdala,0.06528173844737319,0.22598331356110973,0.0,0.1798847744089605,0.19660314082571317,0.10499973090738932,0.35494688104422906,0.1889627066679655,0.28900547447009106
Insula,0.2731251524345987,0.5043523449037236,0.1798847744089605,0.0,0.2261473599840121,0.42956908884133943,0.12348154794963888,0.14396978667920918,0.16859216458143486
Hippocampus,0.13995628508502933,0.14142942617111265,0.1966031408257133,0.226147359984012,0.0,0.14437655702819058,0.8089303960882713,0.5780141612795211,0.08637271556804085
dlPFC,0.47676572238164894,0.16880101358270586,0.10499973090738932,0.42956908884133926,0.14437655702819077,0.0,0.14123754436429328,0.32771343965933325,0.30784538177980963
Parahippocampal,0.14021943203286777,0.15207938413183564,0.3549468810442291,0.12348154794963886,0.8089303960882713,0.14123754436429325,0.0,0.147911365984519,0.11595082679820783
PCC,0.14562142569839476,0.5564743919655198,0.18896270666796555,0.14396978667920923,0.578014161279521,0.32771343965933314,0.1479113659845193,0.0,0.30923990069563567
Angular,0.05986365516971648,0.12188588720039635,0.28900547447009106,0.1685921645814349,0.08637271556804076,0.30784538177980963,0.1159508267982079,0.3092399006956359,0.0
