,vmPFC_OFC,ACC,Amygdala,Insula,Hippocampus,dlPFC,Parahippocampal,PCC,Angular
vmPFC_OFC,0.0,0.6806671356711183,0.5821081699371505,0.5968392961975514,0.7012239533226601,0.7641107396845319,0.5583772040048339,0.6509130432238773,0.668118164483881
ACC,0.6806671356711183,0.0,0.7506486698280744,0.9096940350077491,0.9087580091554043,0.7014553658728984,0.6324810165854176,1.0,0.642204109496717
Amygdala,0.5821081699371505,0.7506486698280744,0.0,0.5877701892811484,0.9131066479139212,0.7666771456675419,0.3460438669359219,0.8672799058576309,0.6454752281420598
Insula,0.5968392961975514,0.9096940350077491,0.5877701892811484,0.0,0.7180944678785486,0.6237402067184129,0.5995942244107344,0.7573714341548156,0.38480258130411193
Hippocampus,0.70122395332266,0.9087580091554043,0.9131066479139213,0.7180944678785486,0.0,0.8852118873517772,0.6796806724715363,0.9353368252174328,0.6771726881142058
dlPFC,0.7641107396845318,0.7014553658728985,0.7666771456675417,0.6237402067184129,0.8852118873517772,0.0,0.5360986372772705,0.6951851917690122,0.8617910232467066
Parahippocampal,0.5583772040048339,0.6324810165854176,0.3460438669359219,0.5995942244107344,0.6796806724715362,0.5360986372772705,0.0,0.49356216809903247,0.21796198337392522
PCC,0.6509130432238773,1.0,0.8672799058576309,0.7573714341548156,0.9353368252174328,0.6951851917690122,0.49356216809903247,0.0,0.645884033485126
Angular,0.668118164483881,0.642204109496717,0.6454752281420598,0.3848025813041119,0.6771726881142058,0.8617910232467066,0.21796198337392522,0.645884033485126,0.0
