,vmPFC_OFC,ACC,Amygdala,Insula,Hippocampus,dlPFC,Parahippocampal,PCC,Angular
vmPFC_OFC,0.0,0.4965341501185645,0.45322477244810333,0.5005232485326464,0.444821313620914,0.5897328757940522,0.4440218151198571,0.41426564408194305,0.34328411419694355
ACC,0.4965341501185645,0.0,0.5803680278958453,0.7555702053806855,0.6843785924515047,0.6562818021511996,0.5994644854744154,0.8868002290836843,0.4636259378186098
Amygdala,0.45322477244810333,0.5803680278958453,0.0,0.5314305491640189,0.6544890229519096,0.5278162463485095,0.6251958384374705,0.6334718232081386,0.45999391579206106
Insula,0.5005232485326464,0.7555702053806855,0.5314305491640189,0.0,0.6207425165026876,0.6554888870113789,0.5552460124640485,0.6486208401050337,0.4564282598597588
Hippocampus,0.444821313620914,0.6843785924515047,0.6544890229519097,0.6207425165026876,0.0,0.5649330659815281,0.7913802670946637,0.7784855767735813,0.41797102027738364
dlPFC,0.5897328757940522,0.6562818021511996,0.5278162463485095,0.6554888870113789,0.5649330659815281,0.0,0.4939171218980779,0.6517280546458994,0.5211035900958425
Parahippocampal,0.44402181511985717,0.5994644854744154,0.6251958384374705,0.5552460124640485,0.7913802670946637,0.4939171218980779,0.0,0.5879120486870583,0.3592079573170834
PCC,0.41426564408194305,0.8868002290836843,0.6334718232081386,0.6486208401050337,0.7784855767735813,0.6517280546458996,0.5879120486870583,0.0,0.5454332027415251
Angular,0.34328411419694355,0.46362593781860983,0.45999391579206106,0.4564282598597588,0.41797102027738364,0.5211035900958425,0.3592079573170834,0.5454332027415251,0.0
